kelime,anlam
Teyyare,Uçak
etlı,edepsiz
cızmek,çizmek
bubaşçe,patatya
çak çek,kesme
i̇nna,i̇ğne
Dolamaç,Dönemeç
gevurga,buğdayın saçta pişirilmesi
evza,kibrit
Döşek,Minder
tepebızdık,takla atmak
çersa,bir kumaş türü
dalamuk,narin
Hela,Tuvalet
ferımag,yaşlanmak
çepud,bez parçası
Kıntışlı,Rüküş
gum, davar yeri
şıvgitmek,etkisiz hale getirmek;dövmek
hevle, helva
cıbıldak,çıplak. yoksul
çerlemek,sinirlenme
zerha,buğdaydan yapılmış kuru gıdaların tümü
Düdük gibi,Dar
cılğe,i̇nce patika yol
ana, anne
lapır,rapor (doktor lapırı)
acens, haber
muhlema,yumurta
Sellangeç,Salıncak
gesked,şapka
dingiltemek,oynamak
kömec,ebe gömeci
yügsünme,mahcup olmamak
kavad,değersiz adam
tırrafa,alıngan
çoh,çok
dazırtlatma,hava gönderme.yellenme
sakırmak,titremek
çağe, çocuk
cemüc,kurutulmuş üzüm
düva,dana
gilavadar,üzüm asması
yergın,sırt
hoşarlanmak,hoşuna gitmek
ikınme,bir işi zorlanarak yapma
lığırt,balçık sulu çamur
nertank,salça
akyüz yukarı,sırtı yerde yukarı bakma pozisyonu
ürümeg,havlamak
gavramak,el ile ekin yolmak
zavle,sopa
sego,ceket
labbik,taş oynunda kullanılan yassı taş
zabid,tutanak
Galat,Bisküvi
fermanı kesilmek,güçsüz düşmek
iginnedi,ilkindi vakti
habbe,taneli lokma
bişgal,çabuk pişen yiyecek veya iyi pişmiş yemek
gayi̇nnem,tevekkeli
Foruç,Kurutulmuş armut
comur,ekmek tereyaği yumurta karişimi
çene,köşe başı
dürmük,dürüm
bedira,kova
hamacük,oyuncak bebek
arkurulamak,yan tarafa doğru gitmek
kafa kegmek,evet anlamına başını eğmek
mıtrıp,cimri
Kupa,Bardak
kiyed,kağıt
Ağhbun,Gübre
enter,münasebetsiz
ebrimak,erimek
pek,bey
acep,acaba.acep
gırmaşmak,kımıldamak
çirtarme k,bacaklar açık bir şekilde çömelmek
sarıot,havuç
keyış,kemer
çömez,acemi
kanger,sakız otu
giyd,güvercin
şemşamer,ayçiçeği
tükan, öküz veya at ile ot sürme
tüdüklük,düdük yapılan bir ağaç çeşiti
sokrenmak,söylenmek
egideş,arkadaş
cartın,farenin büyüğü
enig,köpek yavrusu
afor,ahır
dütek,olgunlaşmamış meyve tomurcuğu.gonca
hıtdı,acur çeşidi
karı,eş
susak,şose
bennek,sandviç
dızınan,iri kıyım
celeb,hayvan sürüsü
kaler,kertenkele
hinkirmak,temizlik
isgembe, sandalye
atlag,dereden kolay geçme yer
akiteş,arkadaş
çöçelanmek,konuşamamak
Gavva,Kahvehane
eşgi,salça
göbek, mantar
beça,dam
Kumbir,Patates
Cecık,Salatalık
çepıt,bez parçası
tumuz, sonbahar
gevi̇g,yamuk
zıravit,uzun
küdlü,çiğidi (çekirdeği) çıkarılmış pamuk
kuçor,kısa boylu
çivil,küçük tane
geri,artık
pokme,ters çevireme
kodafa,bir çeşit sepet
yosuf tudan kuşu,kumru kuşu
cüllük,hartlap ağacının meyvesi
hırtlak,gırtlak
önkülle,öyle
gariş,karış
irgalamak,i̇lgilenmek
tomatis,domates
adko,şal
mevgunad,römork
hışıklı, sürekli hasta olan
hamlama,hayvanların buğday ve arpayı çok yiyerek hastalanması
eke,arkadaş
enki,i̇şte o
zoğal,kızılcık
çavkun,sağnak yağmur
pudün,bot
şeremat,eline çabuk
pırçıgli,havuç
zıkkım,haram
le mi,değil mi?
Düga,Düve
gutik,köpek yavrusu
yilgo,meyve
höşmerim,tatlı
kilden tes,(anlamı belirtilmemiş)
çümende,çimento
gur,bakıpta görmeyen
catırtı,herhangi bir şeyin ani veya hızlı ses çıkarması
Evze,Kibrit
Sü'lük,Yemek dolabı
de,hadi
zavara,un ve bulgur kepeği hayvan yiyeceği
bibi,hala
Cığız,Oyunbozan
hazear,galiba
ayven,boş oda
büg,düzlük arazi
herif,adam
istaben,yaban teresi
sapkana,kolay kolay olmayan
kekmak,kuş gagası
saku,ceket
çilpir,hayvan zinciri
çaten,traktörde römorkun üzerine tahtalarla ilave yapılmış şekli
acasız,ansızın
dapebıztık,takla atmak
çuğuten,çoktan
guynek,gömlek
kanayaglı,kadın
Öngücü,Sonunda
eğercag,yün iplik eğirme aleti.kirman
gonnamek,doğurmak
cakgıl,zincirli iki ucuna kova takılan uzun çubuk
duz,tuz
ankut,aptal
balcık,çok sulu çamur
keykane,yumurta yemeği
tümünne, tahıl ölçeği
akrep,deveyi kontrol etmek için ağzına yakın yerde yulara bağlı bulunan sivri uçlu demir parça
hopune almag,sırtına almak
devemsız,içe yaramaz
yomuş,söz buyurma
gaval,kaval
guyroklu,akrep
tığa,hakararet olarak çocuk
ürma,havlama
Bed,Güzel
toha,kemer
Puset,Elbise
kiyat,kağıt
banga,banka
Gevva,Kahvehane
çitci,çiftçi
tiğsirmek,hapşırmak veya (bir bitkinin filizlenmesi)
ganig,sürahi
ebcim,becerikli
Iradyu,Radyo
tible,pirinç
amiceklik vermek,umut vermek
çakak,küçük gemi barınağı
hodeh,hayvanlara bakan çocuk
gontura,ayakkabı
anışdırmag,anlaşılması için dolaylı yoldan hatırlatmak
sonura,sonra
süyem,baş parmak ile
Babıc,Ayakkabı
iyeşmek,zıt gitmek
Gavça,Çengel
Aşşa,Aşağı
çimmek, duş almak- banyo yapmak
öndüç,ödünç
hindi,şimdi
daşd,leğen
pel pel bekmak,aptalca bakmak
tıvrak,yakışıklı
şahen,tabak
büzük,toplu
bedimli,meteliksiz
enük,kedi ya da köpek yavrusu
haşıl,buğday yemeği
zillenmek,filizlenmek
gınnep,kenevirden yapılan ip
şahan,tabak
Söba,Elips
zıkkım,haram
darazımag,elbisenin dikiş yerinden eskiyerek incelmesi ve açılması
damci,damla
pölca,börülce
tüğülceg,dolu
merak,ot deposu
yeyu,Yiyor
tam,çati
evcimak,eli ev işlerine yatkın
gödünmü,gördün mü
püngüldemek,kaynamak
cort,dikenli
Hısım,Akraba
dikac,ağaçtan yapılmış kazık
ani̇k,köpek yavrusu
ganetlı,çift kanat kapı
şikirsiz,çirkin
cünüt,bataklık
çalkı,süpürge
baslek (basleme),ileride evlendirilmek üzere küçük yaşta alıp büyütülen kimsesiz ya da yoksul çocuk
höllük,bebek toprağı
Berc edmek,Şapırdatarak öpmek
catal gapı,i̇ki kanatlı avlu kapısı
dingildemek,oynamak
dökezimek,ayağı takılmak
hoşerlanmek,hoşuna gitmek
eteglik,etek
saray nigahı,resmi nikah
arpe,araba
kejgere, iki kişinin yük taşımak için kullandığı alet
gavud,un
toz,tuz
ballemak,toprak işlemek
Atol,Küçük kök bitki
pantul,pantolon
fıydırmak,atmak
omu,dalkavuk
feşal,yaramaz
Hızar,Büyük testere
eyan,muhtar
yayan,yürüyerek
bekidmek,sağlamlaştırmak
yekinmeg,birden kalkmak
gıpçık,tez canlı
ecücüg,azıcık
çemranmek,paçaları sıvamak
hortuklu,sümüklü
şamyal,lastik
gısıg,i̇ki dağ veya tepenin arasındaki dar geçit
Desdümbek,Darbuka
dığ,harman yerindeki saman yığını
ağanamek,i̇nlemek.anlamak
çaygara,su içmek için su kaynağının önüne yapılmış küçük havuzcuk
nehır,sığır sürüsü
hurem,ot demeti
gözel,güzel
fösük,dişsiz dişleri sökülmüş
tudak,kulpsuz elbezi
övandere,ucu çivili uzun değnek
mablağ,çay kaşığı
kondure,ayakkabı
çarık,topuğu bükülmüş ayakkabı
farimek,çok hafif
orba,elbise
ıreg,uzak
careme,zahmet
deey deha,i̇şte orada
gatıh, yağı alınmış ayran
akunduruk,çam sakızı
cemkirmak,gereksizce bağırmak
zini,sini
batıl,geçersiz
kalikli,sürtük
cımıklamak,cimciklelemek
urğunurğun,gizli gizli
yevşan,seyrek ot
zırevit,uzun
ötürdü,ishal
barf,kar
issi,sıcak
çitlig,çitlenbik
bişe,bir şey
üykü,uyku
korik,tay
garsamba,fazla olan eşya
pıskırık,aksırık
zaer,herhalde
garaböcük,domuz
Bişka,Kibir
evran,ejderha büyük yılan
yagin,aceleci
erlanmag,utanmak
şirlopcu,bedavacı
ceccel,çok yaramaz çocuk
geramatli,şanssız
yarımağız,i̇steksiz
Odurupdoru,Oturuyor
Galeg,Tezek yığını
çemkirmek,gereksizce bağırmak
çokaşmek,toplanmak
peci̇,kiz kardeş
ferfar,şişeden yapılan gaz lambası
tippadak,hemen
caçcal,çok yaramaz çocuk
Çomçe,Kepçe
töl,yavru
hetif,üzüm döküntüsü
akren,adaş
seki,basamaklı bölüm
Eebele kal,Buraya gel
sidil,küçük bardak
ped,kötü.çirkin
Çiyin,Omuz
böyük,büyük
çevra,mendil
herslenmak,kızmak
ıltız,yıldız
cökelik,yağı alınmış deri peyniri
düzayak,merdiveni olmayan
yazdırcan,Yazdıracağım
kerçina getirmek,ters davranmak
keleb,kolye
suherıc,soğan
nörüyun,ne yapıyorsun
foni,kapba su doldurmaya yarayan gereç
cegişme,kavga
erişikli,beceriksiz
şaplek,tokat
derelik,şalvara benzer kadın giysisi
em,merhem
zürriyat,soy
halapı,yeşil renkli bir cinc incir
geyi̇nnem,tevekkeli
razu,razı
sille,tokat
mücürüm,omlet
ebem kuşağı,gökkuşağı
Gorbagor,Toplu mezar
acii,acur
bayehdan,biraz önce
zerzepil,perişan
vızzık,sigara izmariti
çeçig,başörtü bağlama
miriyıgıg,morali bozuk
Sakırdemak,Titremek
kesan (kesağan),büyük fare
çuveş,güneş
Aved,Geniş yapraklı bir tür diken
hökelekli,i̇riyarı
ilik,düğme
calbara,kalaylı tencere
veseit,araba
düllüg,çocuk düdüğü
mırıh,yarık dudak
şemar,tokat
bamak,parmak
dezırtletme,hava gönderme.yellenme
öden,geçen gün
hızmeger,erkek hizmetçi
aşurma,kulplu kazan
gatmer,bir çeşit ekmek
şamer,tokat
eğin,sırt
gartoluz,yaşlı
hemacik,bebek oyuncağı
ertuk,yemekten arda kalan
nahır,sığır sürüsü
süse,yol
kıyımsız,cimri
pöccüg,i̇zmarit
kırklı,loğusa (yeni doğurmuş hamile kadın) bir hanımın ilk kırk günlük dönemi
gasmok,çam kabuğu altı zarı kabuk
hazaar,galiba
galig,kara lasti̇k
Gıdıl,Küçük
karmek,dedikodu yapmak
yürek yavii olmag,telaşlanmak
sini,bakır tepsi
Sıtıretsız,Suratsız
yazma,başörtüsü
garik,Artık
gıpal,dış görünüş
çırıt,hızlı yürümek
dohlo,bir yaşında erkek kuzu
Gur,Mezar
gabzımal,manav sebze meyve satıcısı
camdı,ters tavan
kenlı,katil
katık,yağsız ekşi ayran
kütlü,çiğidi (çekirdeği) çıkarılmış pamuk
basbelli,herhalde.belli ki
ebe, anneanne- babaanne
aşelek,elma gibi meyvelerin yedikten sonra kalan kısmı
bulku,bulgur
fenikme,bunalma
denha, ıssız
ezendere,turşu yapılan yabani bitki
yenpaş,yan yan yürüyen
heget,hikaye
çıban,büyük derin sivilce
maştala,sebze fidelerinin hepsine birden söylenen söz
huse,kaygı
lülüg,bir sıkımlık köfte
herif,bey
malıh,odun parçası
hasuda,aside. un
zebelleh,büyük
aye,avuç içi
badı,ördek
tummen,don
gupa(tes),bardak
aynı gelmag,mektubun cevabı gelmek
çığırmag,çağırmak
hortuklo,sümüklü
targi,kova
Behelı,Pahalı
fenkire,kirmen
dever,koyun
bir cimcik,çok az
Gorbekor,Toplu mezar
lafa,kamyon
habil,yabani sarmaşık
iliksiz,yaramaz
te,hadi
çiğsalti,i̇nce yağan yağmur.çiğse
sıyırgı,tahta kürek
tostan,human pisliğiyle beslenen bir tür böcek
gara,siyah
bebeht,mutsuz
nedin gıı,ne diyorsun kız?
hışıklı, sürekli hasta olan
cenik,yaylaya göre sahil
cascavlek,biçimsiz
gabcuk,yara kabuğu üst kabuk
Destümpek,Darbuka
çemüd,dut kurusu
koruk, eşşek sıpası
tangırmak,yüksek sesle konuşmak
tıreş,uzun boylu
anlek,açık alan
Cıçık,Güzel
hörtük,i̇şe yaramaz
cıbpan,alkış
unartmek,tamir ettirmek
yeryumurdası(kumpir),patates
Avat,Geniş yapraklı bir tür diken
takdacı,tahtacı
emi, amca
Barc atmek,Şapırdatarak öpmek
gürsü,tandır masası
dilmak,i̇nce doğramak
pilu, pilav
korzeval,kara sapanın ucuna takılan sopa
dürmük,dürüm
Çöğür,Diken
ördme, koridor
daşdar,sofra bezi
burunlamek,kıymet vermemek
hanay,birden çok katlı ahşap ev
goğumsu,yanık bez kokusu
Bahalı,Pahalı
carlemek,sinirlenme
merşün,deri
rehmat,yağmur
gasla,yalan
kertuf,patates
bek,bey
çufer,zehir
cödürmak, işemek
hamimilig,leblebi tozu
gevşemek,geviş getirmek
garabaşlarıma gelen,ah bu başıma gelen
gasbelak, tahta bahçe kapısı
bisat,iç çamaşır
dıtdırıbızdıg,baldırı çıplak
dingama,kuru ve etsiz zayıf adam
anedot,üç parmaklı tarım aleti
kön,deri
kirtilini çıgarmek,i̇liklerini sökmek
tufran,turfan
çitemek,dikmek tutturmak
gözlük,gözlere takılan camlı alet
örtme, koridor
yaranlig,latife
ega,arkadaş
büngüldemak,kaynamak
hefkera,evlerin önünde sebze yetiştirilen bir kaç evleklik toprak parçası
zıran,azgın kimse
i̇sgamba,sandalye
tar'naşı,Tarhana çorbası
döşşeg, yün yatak
yangabuz,yaramaz
Tunelı,Hareketli kız
isgambi,sandalye
köyneg,eskiden gömlek yerine geçen bir giyecek
unertmak,tamir ettirmek
hesir,ot sergi
asbeb,elbise
poar, çeşme
kanayek,kadın
Gitcez,Gideceğiz
döşürmak,dilenmek
petal,büyük
kasmuklu,çok pis kirden kabuk bağlama
dusun,dursun
Çuval gibi,Bol
gede,i̇çine kavrulmuş un konularak yapılan yağlı börek
ekis nükte yapmak,alay etmek
nedin gıı,ne diyorsun kız?
pezene,bezelye
podün,bot
kırdik,biraz
ebapil kuşu,kırlangıç
gedaklı,dertli sorunu olan
lülüt,çitlembik
zağal,tembel
gutul,kurtul
çeput,bez parçası
avkalamak,elleri ile sarsmak
elegci̇,çi̇ngene
dızınen,iri kıyım
bişirim,pişirimlik
yemeni,deriden yapılan hafif ayakkabı
lan,ulan
saku (sahu),ceket
baci,bacı
bıtıg,küçük yumurta
öçpelemeg,ısrar etmek
teberig,biricik
ecans, haber
buldukça buşramak,yetinmemek
kurzevel,sapan sopası
gezdan,oğlak
şamer,tokat
Çanak,Tabak
citme,tekme
işmar,işaret
çilim,yapışkan çam ağacı
kıvçınmak,yerinde duramamak
Guşhana,Tencere
hörtük,i̇şe yaramaz
ouşalamak,ovmak
ırgalamak,alakadar etmek; ilgilendirmek
evzi̇nme,yakınma
Bicki (bıçkı),Odun kesmeye yarayan testere
deş,taş
fetil,taze yemek için yapılan kalın yufka ekmeği
damdıre,halk ozanlarının çaldığı telli saz
Lifoz,Dağ çileği
paşveni,bekçi
cırtetan,acı yabani kavun
Abe,Kıldan yapılan elbise
Çenag,Tabak
kiren,kızılcık
giyt,güvercin
Bölme,Büyük tepsi
tentana,dantel
giren kiresice,soyun sopun kurusun
künefa,taze peynirle yapılan kadayıf tatlısı
dayiyun,dayatmak
dıttırıbızdık,baldırı çıplak
cuvaş,güneş
güdürük,tereyağı gibi yiyeceklerin konduğu toprak kap
çendig,i̇şaret
oyneş,dost
garabaşlarıma kelen,ah bu başıma gelen
gövarmek,vücutta yeşillik peyda olması
deliçe,şahin veya atmaca cinsinden yırtıcı olmayan bir kuş
hedif,üzüm döküntüsü
külek,tahıl ölçmeye yarayan iki teneke hacimli ölçek
nörüyon,ne yapıyorsun?
şıvkidmak,etkisiz hale getirmek;dövmek
gaser,harmandan sonraya kalan süprüntü
tevıriya,oraya
Hacan,Madem ki
tirliksiz,geçimsiz
Arı hamuru,Buğday unundan yapılan hamur
Kıstırkaç,Saç tokası
goynek,gömlek
Ağeş,Ağabey
aşlama,meyve ağacına aşı
Aleketirik,Elektrik
pilo, pilav
palarmek,büyümek
sorutmeg,ayakta durmak
Bedrig,Pamuk ipliği
söyliyrum,söylüyorum
greb,yazma
ekti oğlak,anası ölen yavru başka bir hayvana alıştırılırsa bu yavruya denir
ispirte,kibrit
tizbezi,pijama
buyde,buğday
gövreg,tohum
lok, silindir
payeh,az önce
Çit calısı,Boylu poslu
peturo,kuyu kazanı
Ferik,Piliç
penga,banka
cınnak,tırnak
cumur, ekmek tereyağı yumurta karışımı
pape,kekeme
cofarlanmek,sıcaktan bunalma
teşd,leğen
bel,çatal ağızlı tarım aleti
hümzünmek,yeltenmek
lebpik,taş oynunda kullanılan yassı taş
dabellenmek,yuvarlanmak
kenat,merdiven
Pidil,Buzağı kursağı
çidlik,çitlenbik
guvar,tohumluk küçük soğan
leğen,yıkanmaya yarayan kab
Betnar,Çıban yarası
çovaldız,iğne
terak,raf
Gavın,Kavun
gubçe,düğme
padılçan,patlıcan
hacin,deve
dirken, ot çatalı -(araç-gereç)
ciden,bölme
amat,ahmet
erikma,şımarma
kıymalı,lahmacun
barf,kar
cöğmek,yere eğilmek
deşirici,dilenci
Sü'lük,Yemek dolabı
çırıfta,küçük ekmek
koo etmak,dedi kodu etmek
Yımırda,Yumurta
ecii,acur
De hayde,Çabuk gel
Gulu kolu,Hindi
Çiritmeg,Çömelmek
pezar, çarşı
mıh, çivi
girmen,yünden ip yapar
ağırmag,yüksek sesle bağırma
lepır,rapor (doktor lapırı)
culsuz,fakir
heybe, eşya çantası
Azkun,Şımarık
naceh, küçük balta
gıdi̇lenmag,önemsiz işlerle oyalanmak
kögküç,ucu sivri sopa
pürpürüm,semizotu
tes,su için bardak
eçasız,ansızın
külfet,ev halkı
Cücük,Kümes yavrusu
genlı,katil
yimırta,yumurta
luş,düğün yemeği
enik, köpek yavrusu
apacı,terzi
gerdüg,gedik
badılcan,patlıcan
deyha,i̇şte burada
gülek,kova
çi̇mmek,banyo yapmak
bacı, kız kardeş
anek,sapan ucu
Nizmen,Ne zaman
buyda,buğday
ferişta,en iyisi çok iyi
karıb,urfalı olmayan yabancı
umma,lohusa şişliği
tedenmak,alışmak
gepmek,dik duran bir şeyin yıkılması
tutaba,hizmetçi kız
püngültemak,kaynamak
anik, köpek yavrusu
caplema,sallamak
tevler,üzerine kapkacak koymak için raflardan oluşan tezgah
hümzünmek,yeltenmek
garçaştorme,tarıştırma tahrik etmek
divildek,çok hareketli
gerçak,gerçek
kum,davar yeri̇
alef,hayvan yiyeceği
kapenak, kelebek
cilbir,hayvan zinciri
çufarlanmak,sıcaktan bunalma
karer,karar tam kıvamı
Bagreç,Kova
gebıklı,yabancı;gavur
şura, şurası
emme,ama lakin fakat
fırdolayı,çepçevre
tüşelge,miras hissesi
köyköçüren,kertenkele cinsi (sülemancık)
seki,basamaklı bölüm
eca,erkek kardeş
höllük,bebek toprağı
hepan,kuş tuzağı
cehal,bilgisi olmayan
Sıçan,Fare
hatif,üzüm döküntüsü
tospaa,kaplumbağa
madeg,dişi manda
çümende,çimento
entari,kadın elbisesi
çobur,çiçek bozuğu cilt
ortahci,tarım işçisi
tes,su için bardak
afsi,ucu yanmış odun
Bijbijli,Sivri uç
cirbindi,maki türü
kaler,Kertenkele
şemyel,lastik
bodiye,önlük
bapur yolu,kırkgöz köprüsünden geçen eski ipek yolu
gebra,at tımarında kullanılan alet
karagavuk,ot
dağme,dokunma
çumur,ekmek tereyaği yumurta karişimi
rahmet,yağmur
çemırlemek,kıvırmak
zopor,i̇nce ince yağan hafif yağmur
pibi,hala
çemüd,dut kurusu
çınkı,parça
tadtuk,çok sevimli
matiflamek,şaşırıp
gadıh, yağı alınmış ayran
kelam,söz
serbuş,tencere kapağı
yığın,ot yığını
katıh, yağı alınmış ayran
baslek,besleme
ihi bekpi,bakar mısın
fanikme,bunalma
Hele,Tuvalet
bi hamla,birden
gacivemek,kaçmak
asbeb,elbise
hopuna almag,sırtına almak
gegeç,kekeme
ciğ,kırağı
menkaş,cımbız
anneç,karşı
dişemek,biyeleme
çamış,erkek manda
Ağardı,Süt ürünleri
Efandiağa,Amcaoğlu
gazen, tencere
kasek,tarlada iri ve sert olan toprak parçası
piyu,bir kere
helva,Helva
tolmuş,otobüs
Sü'lüg,Yemek dolabı
fasille,fasulye
fedil,kalın yufka
çoreh, tuzlu
enük,kedi ya da köpek yavrusu
talis,keten torba
hıbar,duvar dizmede büyük taşlar arasıra konan küçük taş
karik,Artık
Ürmek,Havlamak
GurraGurre,Kibirli
tarazımak,eskiyip açılmak
ganne,cam
Cambil,Elfeneri ampulü
hapan,kuş tuzağı
bıskırık,aksırık
yargını çinevsee,sırtımın üstüne çık ayaklarınla masaj yap
Çaneg,Tabak
telis,tahıl torbası
dort,çivili köpek tasması
pize,buzağı
al garısı,efsanevi yaratık
geltoş,kel
seki,basamaklı bölüm
gertmeg,kesmek
çördük,küçük yabani armut
çırık,yeni gibi (civciv)
Göllame,Mısır haşlama
kerıb,urfalı olmayan yabancı
Fırtık,Sümük
mayesı çımbıldak,gerçek kişiliğini gösterme
data,tahta
yavan,tatsız
çödürmak, işemek
cule,karga
catmak,rastlama.rast gelme
susek,şose
gek,pestil
mayis,büyük hayvan dişkisi
can çikti,tarlada 5 çayi
dahana,i̇şaret etme keli̇mesi̇
herslenmek,kızmak
herel,kıldan yapılmış büyük çuval
eccüg,azıcık
devren,çabuk
Cikerakrabe,Yakın akraba
bıyıl,bu sene
Gıtıl,Küçük
kumbilis,komunist
gevlağan,çınar ağacı
zobban,bir tür kuş
Göçak,İplik makarası
urğunorğun,gizli gizli
gagiliç,biçimsiz şekilsiz
aşhana (aşane),mutfak
celep,besi hayvanlarının sürüsü
gormot,ahlat türü
Dolamaç,Dönemeç
taşt,leğen
tustan,human pisliğiyle beslenen bir tür böcek
zerzepil,perişan
kızıllanmak,kıskanmak
debellenmeg,yuvarlanmak
gerer,karar tam kıvamı
cırankettirmek,vurmak
dirliksiz,geçimsiz
Abdeslık,Lavabo
cırım cıngıl,çok fazla.-yırtık
galah,tezek yığını
gera,siyah
gave,kahve
farfeni,toplantı
dombay,manda
cen leğeni,ölü yemeği kabı
albiz,örümcek
pulüs,polis
ne duon,ne diyorsun
Gitcaz,Gideceğiz
şaplak,tokat
Iras,Denk
dişlek,dişleri bozuk çirkin insan
aluşuk,devamlı gelen.alışkan.ucu yanan odun
ceçcel,çok yaramaz çocuk
razu,razı
vesait,araba
Göllenmek,Suyun dolması
Behelı,Pahalı
ülba,yoğurt kovası
Gecen ğhere kalsın,İyi geceler
caka,fiyaka
luğuse,doğum yapmış kadın
guçuk,1 yaşina gi̇rmemi̇ş köpek yavrusu
akyüz yogarı,sırtı yerde yukarı bakma pozisyonu
yırdımçı,manifaturacı
eysiran,kesici
üğürlenmek,kendi kendine söylenerek nazla sallanmak
Seydimakas,Kriz
uk, ev tavanında kullanılan ağaç
elguvan,mor renkli çiçekli ağaç
gülü,hindi
gözlemeg,kızartmak
pelemek,çocuğu kundağına sağıp yatırmak
urofsıktı olmak,depresyona girmek
çımbıltama,oynaklık etmek. (mayası cımbıldamak)
vırtkel,aynı yerde gidip gelme
çıtlapöçü,ateşböceği
buduç,ağaç kap
kezak,tezek
zopur,i̇nce ince yağan hafif yağmur
elfetün,ateş gibi
hışva,açılmış pamuk kozasının çöpü
âpe,arpa
çupor,çiçek bozuğu cilt
Goppuz,Yumruk
domati̇,domates
nörüyun,ne yapıyorsun?
tuh,köpek tasması
çandik,i̇şaret
ana, anne
Fanti,İskambil
hızan,yoksul
ürümak,havlamak
eze,vücut
dolaşmak,i̇pliklerin karışması
Hısım,Akraba
caplama,az kalın kereste.cıta
aysiran,kesici
Gırnep,Kalın ip
guyruklo,akrep
kalıc,orak
aşme,kaysı kurusu
gacçug,kadar
fıltırmek,fırlatıp atmak
tandır,toprak fırın
öökünmek,dert yanmak
gıbla,kıble
keleçoş,yoğurt çorbası
kehle,bit
Dadağh,Ağabey-kardeş
pöçcük,i̇zmarit
seğirtme,hızlı koşma
büngüldeme,kaynama
çaplama,sallamak
buğoz etme,eziyet
dapmez deşürmez olmak,çok zengin olmak
uşek,çocuk
kernib,kurumuş su kabağından oyulan su kabı
çec,savrulan samandan ayrılmış buğday yığını
Gıtig,Oğlak
simsirik,sümük
pandul,pantolon
aladirik,fener
halve,Helva
punar,pınar
çape,1.tarlada ürünlerin arasını süren tarım aleti 2.büyük kazma
hadıl, taş duvar bağlantı ağacı
hızmekar,erkek hizmetçi
eğleş,dur.
çirderme k,bacaklar açık bir şekilde çömelmek
çitilemek,dikmek
atko,şal
kivre,kirve
sınmag,kırmak
sembağı,yün ip
Gölleme,Mısır haşlama
kegra,çalmak (tadının ekşi veya acıya yakın olması)
fırtmak,küsmek
sınmeg,kırmak
sakırmak,titremek
yeaşanma,boş durma & sus konuşma
sarıut,havuç
Gelekale,Sincap
başag,toplamadan kalan fındık.soğlama
angez,büyük
pâçe,batça
çekelü,sıyırıcı
cavir,gavur
gerni,gara
eşkar,kir
Gaven,Dikenli bitki
Gulu kulu,Hindi
tüğülcek,dolu
divir gitmek, kız istemek
aşgar,kir
eviik,üveyik kuşu
yelamuk,kabuk
ayema,takma ad
ketıh,ayran
Dadlı,Tatlı
Zımbarmak,Yemek içmek
püvet,tarlada suyun yönünü değiştirmek için kurulan set
danil,geveze.dangalak
çokaşmeg,toplanmak
tıgış,içeri almak
mılcıma,çürüme
ocağın annacında,ocağın yanında
gayme,kıyma
andır,adı bilinmeyen.i̇şe yaramayan
yanıkara,şarbon hastalığı
hamecik,bebek oyuncağı
enig, köpek yavrusu
hekos,tarla sulama arkı
ferişta,en iyisi çok iyi
zivzivlemek,zingildemek; gezip durmak
çırıtla,hamur işi yağda pişen lokma
eçir,yapığı davranışın karşılığı.olacaklar
nörüyon,ne yapıyorsun?
çigeyo,çıkıyo
pöslük,çöp toplama alani
atlı,edepsiz
devlı,i̇yi besili
kale,bayanlar için kullanılan samimi ifade
kelikli,sürtük
kamçik,ağzı çukur ve içeri çökmüş gibi görünen
çevra,mendil
cecim,kilim
fıltırmeg,fırlatıp atmak
Dembaş,Çatı
al,kırmızı
getik,çocuk ayakkabısı
Çabule,Ayakkabı
tekir,tekerlek
horam,ot demeti
bezmag,usanmak
seğirtmek,hızlı koşmak
devamsız,içe yaramaz
i̇lenger,yayvan bakır kap
ködünmü,gördün mü
serçe, kuş
keygı,sert
pahalı,fiyatlı
gurmot,ahlat türü
guma,ikinci eş
cegü,yazma
ihicük,işte
fink atmek,ordan oraya durmadan gitmek
cırım cıngıl,çok fazla.-yırtık
Pusat,Elbise
apa, anneanne- babaanne
hasil, süt ürünleri
devrisi gün,ertesi gün
taslanıbba,Tasalanıyor
durekta durer mısın,durakta durur musun
Gitcez,Gideceğiz
hoyrat,sevimsiz kötü
zehre,kışlık tahıl
ebroka,çevirme
evme,acele etmek
silla,tokat
i̇lâğan,leğen
imtaan,sınav
firez,biçilmiş tarlada kalan hububat sapları
şişmek,şımarma
ağe,eğer
nemâreg,neyime gerek
urupleğ,tahıl ölçüsü
sırpınçak,kaygan
huyrat,sevimsiz kötü
çametan,vitrin
Gata,Dert
kurrik,sıpa
kerıg,bahçede ekim için oluşturulan alan
hışva,açılmış pamuk kozasının çöpü
güvertme,ufak çıban
baget,bereket
ak,beyaz
küflat,ev halkı
cöçelenmek,konuşamamak
gümanli,hamile
azgon,çıldın
guşhena,büyük sahan
gündöndü,ayçiçeği
cullo,varlıklı
karıp,urfalı olmayan yabancı
Gezta,Gazete
Cırnağ,Tırnak
Tunalı,Hareketli kız
grap,yazma
Futuraf,Fotoğraf
kıdik,oğlak
toman,pijama veya alt giysi
kıçır,yeni
beter,çok
gayli,artık
ırkalamak,alakadar etmek; ilgilendirmek
ellez,ilyas
